EPISODE,AVERAGE SCORE,MAX_SCORE
468,3.83,14.28
469,3.28,6.51
470,3.89,9.47
471,3.19,8.18
472,3.36,8.63
473,3.73,13.43
474,3.15,6.72
475,3.72,8.28
476,2.99,7.88
477,3.85,11.32
478,3.49,7.69
479,3.74,8.57
480,3.59,9.31
481,3.8,9.5
482,3.99,11.35
483,3.39,8.21
484,3.53,9.2
485,3.18,7.24
486,3.4,7.59
487,3.71,8.82
488,3.99,8.56
489,3.07,9.89
490,3.58,9.1
491,4.13,8.83
492,3.47,6.85
493,3.55,11.12
494,3.54,6.52
495,3.3,7.24
496,3.95,10.42
496,3.86,9.83
497,3.45,7.09
498,3.49,13.62
499,3.48,8.82
500,3.62,8.57
501,3.69,8.36
502,4.47,9.59
503,3.98,7.81
504,3.26,6.58
505,3.87,7.57
506,3.81,9.02
507,3.84,14.32
508,3.59,7.81
509,3.9,11.87
510,3.57,6.87
511,3.65,7.59
512,3.42,10.32
513,3.99,12.55
514,4.75,13.11
515,3.84,10.49
516,4.43,18.96
517,3.91,11.89
518,3.76,13.18
519,3.38,9.48
520,3.47,8.16
521,4.03,8.77
522,3.32,7.48
523,3.48,7.22
524,3.88,8.22
525,3.31,7.47
526,3.88,8.93
527,3.02,8.12
528,3.55,9.21
529,3.66,17.1
530,4.08,9.29
531,3.83,7.86
532,3.54,9.01
533,3.88,7.84
534,4.15,14.42
535,3.01,7.36
536,3.8,8.47
537,3.68,9.88
538,3.66,7.88
539,4.16,13.94
540,3.84,9.2
541,4.15,9.76
542,4.3,8.19
543,4.18,7.82
544,3.63,7.29
545,3.83,8.73
546,3.58,7.9
547,3.11,6.81
548,3.32,7.78
549,3.26,7.06
550,3.59,6.65
551,3.93,12.19
552,3.95,8.64
553,3.48,6.87
554,3.15,8.18
555,3.75,9.79
556,4.1,8.12
557,3.05,8.37
558,4.21,15.53
559,3.8,10.51
560,3.35,8.16
561,3.64,9.77
562,3.84,8.22
563,3.66,7.72
564,4.08,9.44
565,3.69,9.78
566,3.11,6.12
567,4.02,9.1
568,3.61,8.77
569,3.39,7.55
570,3.17,8.85
571,3.43,6.94
572,3.7,7.75
573,4.2,11.69
574,3.18,9.47
575,3.7,10.39
576,3.95,10.21
577,3.5,7.27
578,3.62,7.08
579,3.96,9.49
580,3.52,8.91
581,3.41,9.18
582,4.36,10.41
583,3.48,8.36
584,3.6,7.95
585,3.75,10.28
586,3.89,7.66
587,3.78,8.63
588,3.99,7.89
589,3.36,8.57
590,3.4,8.87
